Site,Control System,Unit,Application Type,Application Instance,Points
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,ARTC/RTU Control,R1 FRONT,"AUX IN1 DIG, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,ARTC/RTU Control,R1 FRONT,"AUX IN1 DIG, AUX IN2 DIG, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R1 FRONT R/MC,"AUX IN1 DIG, AUX IN2 ANL, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,ARTC/RTU Control,R1 RIGHT SALES,"CONTROL TEMP, COOL1, FAN, HEAT1, SPACE TEMP, SUPPLY TEMP"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,ARTC/RTU Control,R2 CENTER,"AUX IN1 ANL, AUX IN2 ANL, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R2 CENTERFRONT,"AUX IN1 ANL, AUX IN2 ANL, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,ARTC/RTU Control,R2 LEFT SALES,"CONTROL TEMP, COOL1, FAN, HEAT1, SPACE TEMP, SUPPLY TEMP"
